,dish name,veg_ind,nonveg_ind
,Grilled Chicken Burger,0,1
,Club Sandwich,1,0
,Garlic Bread,1,0
,Kaathi roll,1,0
,Murg Malai Tikka,0,1
,Butter Naan,1,0
,Chilly Chicken,0,1
,Afgani Chicken,0,1
,dimsums(chicken),0,1
,Soya Malai Chap,1,0
,The Tabula Beach Loaded Nachos,1,0
,Mandarin Honey Chili Chicken,0,1
,Chicken Satay,0,1
,Hakka Noodles,1,1
,Honey Chili Paneer,1,0
,Fried Rice,1,1
,Sweet Corn Soup,1,0
,Butter Chicken,0,1
,Chicken Malai Tikka,0,1
,Chilly Chicken,0,1
,Dal Makhani,1,0
,Afghani Chicken,0,1
,Honey Chilli Potato,1,0
,Chicken Lollypop,0,1
,Fried Rice,1,1
,Chicken Biryani,0,1
,Best Ginger Garlic Fried Rice,1,1
,Dahi ke kebab,1,0
,Kadhai Paneer,1,0
,Orient Fried Rice,1,0
,Cantonese Chilli Chicken,0,1
,Kaus Khao Suey,1,0
,Thai Green Curry,1,1
,Otak Otak,1,0
,Spicy Rice Cakes,1,0
,Kaus Khao Suey,1,0
,Kung Pao Chicken,0,1
,Sticky Rice,1,0
,Asian Chicken Salad,0,1
,Hot & Sour Soup,1,1
,Spicy Basil Miniced Chicken,0,1
,Nasi Goreng,1,0
,butter chicken,0,1
,paneer tikka,1,0
,chicken tikka roll,0,1
,classic chicken burger,0,1
,crème sauce pasta,1,1
,lucknow mutton biryani,0,1
,hyderabadi chicken biryani,0,1
,chilli chicken,0,1
,grilled chicken sandwich,0,1
,afghani chicken,0,1
,alloo parantha,1,0
,chicken tikka ,0,1
,Tandoori Momos,1,1
,Matki Chicken,0,1
,Daal Makhni,1,0
,Butter Chicken ,0,1
,Butter Chicken ,0,1
,Biryani,1,1
,Chilly Chicken Gravy,0,1
,Lemon Chicken,0,1
,Chilly Mushroom Dry,1,0
,Murgh Rarah Punjabi,0,1
,Lemon Chicken,0,1
,chicken sandwich,0,1
,cold coffee,1,0
,cheese omelette,0,1
,cheese sandwich,1,0
,Veg Sandwich in Brown Bread,1,0
,mutton burger,0,1
,la piazza pizza,0,1
,bunet tradizionale piemontese,1,0
, tiramisu aromatizzato all amareto,1,0
,minestrone alla genovese,1,0
,Old  Fashioned  Peking duck,0,1
,"""Kong pao"" chicken, garlic, Chinese vinegar, peanut",0,1
,"Steamed chicken ""siew mai"", Spring onion, Sweet and sour sauce dumplings",0,1
,"Crispy coconut waffle, chocolate ice cream, palm sugar syrup",1,0
,Jasmine Tea Tiramisu,1,0
,The Fatty Bao PB&J,0,1
,Cocoa Caramel,1,0
,Spicy Red Chicken ramen,0,1
,BBQ Chicken Shengjian Bao,0,1
,Salmon Carpaccio,0,1
,Fatty Hill,1,0
,Wild Mushroom and Truffle Oil Dimsum,1,0
,Prawn Tempura,0,1
,The Fatty Oysters,0,1
,Duck Pizza,1,0
,Zen Forest,1,0
,Japanese Cheesecake,1,0
,Char Siu Bao,0,1
,Asparagus Tempura and Cream Cheese,1,0
,Spicy Mushroom,1,0
,Green Mango and Papaya Salad,1,0
,Dal Shamiana,1,0
,Butter Chicken,0,1
,Malai Kofta,1,0
,Paneer Lababdar,1,0
,Chicken Drum Sticks,0,1
,Murgh Afghani,0,1
,Paner Haryali Tikka,1,0
,Crispy Baby Potatoes Chilly Honey,1,0
,Chilli Chicken Dry,0,1
,Shahi Paneer,1,0
,White Forest Pastry,1,0
,chocolate pastry,1,0
,Chilli Potato,1,0
,afgani Chicken,0,1
,Butter Chicken,0,1
,dal Makhani,1,0
,Pineapple Raita,1,0
,Chiken Tikka Masala,0,1
,Kadhai Paneer,1,0
,Butter Naan,1,0
,Paneer Tikka,1,0
,Kadhai chicken,0,1
,Butter Paneer Masala,1,0
,Tandoori Chicken,0,1
,Malai Kofta,1,0
,Garlic naan,1,0
,Mushroom Butter Masala,1,0
,chicken tikka,0,1
,kosha mangsho,0,1
,Riwazi mutton biryani,0,1
,chicken biriyani,0,1
,shorshey bata diye bhetki maach,1,0
, fish tikka,0,1
,daab chingri,0,1
,sorshe ilish ,1,0
,rui maach,0,1
,crème sauce pasta,1,1
,pot pie,1,1
,chilly honey potatoes,1,0
,chilly chicken,0,1
,chocolate trufflees sundae,1,0
,lasagna,1,1
,ferrero rocher shake,1,0
,choco lava cake,1,0
,cheese baked nachos,1,0
,Shahi Paneer,1,0
,Butter Chicken,0,1
,Dal Makhni,1,0
,Chicken Biryani,0,1
,Dahi Kebab,1,0
,Tawa Roti,1,0
,Dal Fry,1,0
,Chicken Korma,0,1
,Mix Vegetable,1,0
,Quickie Combo Veg,1,0
,Dal Makhani,1,0
,Kadhai Paneer,1,0
,dahi ke sholey,1,0
,dry manchurian,1,0
,Honey Chilly Potato,1,0
,Malai Kofta,1,0
,paneer lababdar,1,0
,Garlic Naan,1,0
,Tea/ Masala Chai,1,0
,Nimbu Pani,1,0
,Ice Tea,1,0
,Palak Patta Chaat,1,0
,Bun Kebab,0,1
,Keema Matar,0,1
,Cold Coffee,1,0
,Aloo Tikki,1,0
,Palak Paneer,1,0
,Coffee Walnut Ice Cream,1,0
,Vegetarian Thali,1,0
,Shammi Kebab,0,1
,Paranthas/ Mirchi,1,0
,Tasty Toast/ Cheese,1,0
,Chicken Biryani,0,1
,mutton biryani,0,1
,chicken korma,0,1
,chicken biryani,0,1
,chicken korma,0,1
,sheermal,1,0
,khameeri roti,1,0
,nehari mutton,0,1
,doodh chini roti,1,0
, seekh kabab mutton,0,1
,nehari chicken,0,1
,mutton stew,0,1
,aaloo gosht(mutton),0,1
,chicken tikka,0,1
,Cheeky Chicken Burger,0,1
,White Sauce Pasta,1,1
,Veggie Burger,1,0
,Cheese Mutton quater pounder burger,0,1
,veg fried rice,1,0
,fruit beer,1,0
,tee dee's special chicken,0,1
,thenthuk,1,1
,lemon chicken,0,1
,chicken gyathuk,0,1
,chilly potatoes,1,0
,shabhaley,1,1
,tibetian bread,1,0
,momos,1,1
,double fried pork,0,1
,fruit beer,1,0
,tingmo,1,0
,beef chilly,0,1
,tibetian tea,1,0
,chilly garlic noodles(chicken),0,1
,chicken fried rice,0,1
,pork chilly ,0,1
,Chilli Garlic Noodles,1,0
,Vege Devil Momo,1,0
,Fruit Beer,1,0
,Honey Chilli Potatoes,1,0
,Apple Beer,1,0
,Darsan,1,0
,Tibetan Gyathuk,0,1
,Vege Fried Rice,1,0
,Vege Hakka Noodles,1,0
,Cold Coffee,1,0
,Plain Tingmo,1,0
,Know Suey,1,1
,Chocolate cake,1,0
,Hot Chocolate,1,0
,Blue Berry Cheese Cake,1,0
,Apple Pie,1,0
,Vegetable and Cheese Sandwich,1,0
,Tiramisu,1,0
,Chocolate Walnut Brownie,1,0
,Caffe Latte,1,0
,Peach Iced Tea,1,0
,Ginger Honey Lemon Tea,1,0
,Iced Blended Chocolate Latte,1,0
,Tibetan Cheesecake(Thu),1,0
,Cold Coffee with Ice Cream,1,0
,Lemon Iced Tea,1,0
,Fruit Cake,1,0
,Cheese Omelette,0,1
,Pineapple Upside Down,1,0
,paranthas(starts at),1,0
,lassi(starts at),1,0
,chola bhatura,1,0
,jungli murgh,0,1
,gurwali lassi,1,0
,panjabi malai lassi,1,0
,punjabi thali,1,0
,Spicy Chicken Sandwich,0,1
,Chicken Sandwich,0,1
,Red Sauce Pasta,1,1
,Chilli Chicken,0,1
,Chicken Burger,0,1
,Chilli Potato,1,0
,Veg Spring Roll,1,0
,Garlic Bread ,1,0
,White Sauce Pasta,1,1
,Chilli Paneer Dry,1,0
,Chicken Malai Tikka,0,1
,Butter Chicken,0,1
,Mutton Tikka,0,1
,Chicken Tawa,0,1
,Chicken Malai Tikka,0,1
,Chicken Tandoori,0,1
,Roomali Roti,1,0
,Mutton Burra Chatpata,0,1
,Chicken Tikka Roll,0,1
,Mutton Seekh Kabab,0,1
,Mutton Seekh Roll,0,1
,Chicken Seekh Kabab,0,1
,Chilly Chicken,0,1
,Veg. Haka Chowmein,1,0
,Chicken Fried Rice,0,1
,Chicken Momo,0,1
,Chilly Paneer,1,0
,Hunny Potato,1,0
,Chicken Lemon,0,1
,Veg. Manchurian,1,0
,Veg. Chilly Garlic Chowmein,1,0
,Chicken Chopsuey,0,1
,Eggs Benedict,0,1
,Grilled Mushroom & Cheese Sandwich,1,0
,Icea tea,1,0
,Chicken Shawarma Wrap,0,1
,Fresh Seasonal Juice,1,0
,Roasted vegetables & Pesto Sandwich,1,0
,Chicken Steak,0,1
,Minestrone(Chicken sausage) Soup,0,1
,Hot Chocolate,1,0
,Strawberry Smoothie,1,0
,Chicken Caesar Salad,0,1
,Yogurt Pots,1,0
,Arabiatta Pasta,1,1
,Chicken Roll ,0,1
,Paneer Roll,1,0
,Mushroom Roll,1,0
,Chicken Roll Double,0,1
,Veg Roll,1,0
,Malai Chicken Roll,0,1
,Egg Roll,0,1
,Soya Chap Roll,1,0
,Fried Rice,1,1
,Chilly Garlic Noodles,1,1
,Chicken Momos,0,1
,Chilly Chicken,0,1
,Paneer Chilly,1,0
,Crispy Veg in Chilly Garlic Sauce,1,0
,Chicken Lollipop,0,1
,Veg Noodle bowl,1,0
,Steamed slice fish with chilli garlic sauce,0,1
,Fried rice with seasonal Veg,1,0
,Crispy Fried Chicken,0,1
,Apple Pie,1,0
,Chocolate Roulade,1,0
,Steamed dumpling with minced lamb and herb,0,1
,Chengdu chicken crystal Dumplings,0,1
,Dal Khidmat,1,0
,Murgh Makhanwala,0,1
,Rara Murgh,0,1
,Paneer Lababdaar,1,0
,Rarra Murgh,0,1
,Garlic Naan,1,0
,Badshahi Paneer,1,0
,Tomato Soup,1,0
,Lamb Biryani,0,1
,Gulab Jamun,1,0
,Gilafi Seekh kebab,0,1
,Afghani Murgh kebab,0,1
,dal makhani,1,0
,chicken tikka,0,1
,dahi ke kabab,1,0
,bhutta seekh,1,0
,afgani Chicken,0,1
,malai paneer tikka,1,0
,kadhai paneer,1,0
,Mutton Biryani,0,1
,Lamb of God,0,1
,The Hangover Breakfast,0,1
,Holy Cow Burger,0,1
,WTF Burger,0,1
,Hot Mama Deluxe,0,1
,Illegal Ammo,0,1
,Hot Chocolate with Marshmellow,1,0
,The Full Monty English Breakfast,0,1
,Fat Tony Burger,0,1
,Caeser Salad,0,1
,Garlic Bread with Cheese,1,0
,Come to Daddy,0,1
,Chocolate Oreo,1,0
,The All Meat Lasagne,0,1
,Hollywood,1,0
,Garden Lasagne,1,0
,Cold Coffee,1,0
,Masala,1,0
,Cheese Royale,1,0
,Chilli Chicken,0,1
,Grilled Chicken in Mustard Sauce,0,1
,Veg Mezze Platter,1,0
,Virgin Mojito,1,0
,Pasta Alfredo,1,0
,Beijing Chicken,0,1
,North African Salad,0,1
,Chicken Texas Rodeo,0,1
,Fererro Rocher,1,0
,Virgin Mojito,1,0
,Garlic Bread,1,0
,Pesto Pasta,0,1
,Oreo Shake,1,0
,Strawberry Shake,1,0
,Black Forest Cake Shake,1,0
,Caesar,1,0
,Kit Kat Shake,1,0
,Butterscotch Cake Shake,1,0
,Crispy Honey Potatoes,1,0
,Spinach & Corn,1,0
,Indiano Chicken Tikka,0,1
,Picante Pizza,1,0
,Chilli Chicken,0,1
,Maggi Masala pizza,1,1
,Spring Rolls,1,0
,Chicago Sandwich,0,1
,Flavoured Soda,1,0
,Cold Coffee,1,0
,Veg Burger,1,0
,Mexican Salsa Fries,1,0
,Brownie Shake,1,0
,Hummus with Pita Bread,1,0
,Peppery Paneer Sandwich,1,0
,Baked Nachos,1,0
,Chicken Caccitore,0,1
,Ravioli Pasta,1,0
,Penne Milano Pasta,1,0
,Penne Arabiata Pasta,1,0
,Morrocan Chicken,0,1
,Lemonade,1,0
,Spaghetti aglio olio Pasta,1,0
,Chilli Garlic noodles,1,0
,Fusion Lasagne Ala polo,0,1
,Rosemary Chicken Steak,0,1
,Garlic Bread,1,0
,Antioxidant Blast,1,0
,Classic Lambretta Pasta,1,1
,Head Light Burger,0,1
,Mileage Burger,0,1
,Cafe Fresh Pizza,1,0
,Vegan Wagon Platter,1,0
,Peri Peri chicken steak,1,0
,Cottage Cheese Steak,1,0
,Smoked Chicken Salad,1,0
,Extra mile Burger,0,1
,Engine Oil,0,1
,Spinach and Mushroom Lasagne,1,0
,Chicken Keema Pizza,0,1
,Grilled Lamb Burger,0,1
,Punture Burger,1,1
,Watermelon Salad,1,0
,Meat feast Pizza,0,1
,Carborator Pasta,1,1
,Desi Ride with Kukkad,0,1
,Hummus & Pita Bread,1,0
,Princess Shake,1,0
,Knight Rider,1,0
,Million Dollar Shake,1,0
,Css Nachos,0,1
,Meat ball bearings,0,1
,Dahi ke Kebab ,1,0
,Lahori Masala Paneer,1,0
,Amritsari Chole Bhature,1,0
,Butter Chicken roll,0,1
,Aam ka Panna,1,0
,Veg Kebab Platter,1,0
,Paneer Tikka Pizza,1,0
, Galouti Kebab,0,1
,Gulab Jamun,1,0
,Chicken Biryani,0,1
,Murgh Tandoori,0,1
,Express Thali,1,0
,Garlic Naan,1,0
,Reshmi Seekh Kebab,1,0
,Paneer Makhani,1,0
,Meat Punjabi by Nature,0,1
,Peshawari Kebab,0,1
,Lachedar Paratha,1,0
,Veg Biryani,1,0
,Butter Naan,1,0
,Dal Makhani,1,0
,Pav Bhaji,1,0
,Mango-Lassi,1,0
,Kasturi Kebab,1,0
,Non Veg Platter,0,1
,Amritsari Fish Tikka,0,1
,Murg Punjabi Masala,0,1
,hot chocolate fudge,1,0
,Chicken Tikka Pizza,0,1
,Dal Punjab Grill,1,0
,Tandoori Murgh,0,1
,Dahi ke Kebab ,1,0
,Paneer Lababdar,1,0
,Paneer Tikka Multani,1,0
,Patiala Shahi kadhai paneer,1,0
,Naan,1,0
,Murgh Tikka Punjabi Grill,0,1
,Murgh Malai Tikka,0,1
,Gulab Jamun,1,0
,Dum Ki Biryani Chicken,0,1
,Amritsari Malai Kofta,1,0
,Kadhai Murgh,0,1
,Subzia De Milniya,1,0
,Lahori Seekh,0,1
,Tandoori Roti,1,0
,Salmon Tikka,0,1
,Bharwan Khumb Peshawari,1,0
,Bhatti Da Murgh,0,1
,Murgh Lababdar,0,1
,Dum Ki Biryani,0,1
,Veg Kurkuri,1,0
,Raj Kachori,1,0
,Dhodha Barfi,1,0
,Moong dal ka halwa,1,0
,Pav Bhaji,1,0
,Dal Makhani,1,0
,Chana Bhatura,1,0
,Masala Dosa,1,0
,Rasmalai,1,0
,Gulab Jamun,1,0
,Dil Khush Thali,1,0
,Dahi Bhalla,1,0
,Gajar ka halwa,1,0
,Big Boy Burger,0,1
,nutty buddy,1,0
,American banana split,1,0
,chicken burger,0,1
,cheese capsicum onion pizza,1,0
,hot chocolate fudge,1,0
,plain cheese pizza,1,0
,Mutton sausage pizza,0,1
,Ice Cream sundae,1,0
,Peri Peri chicken ,0,1
,Portuguese lemonade,1,0
,Three bean salad,1,0
,garlic bread,1,0
,feta cheese,1,0
,pita bread,1,0
,espetada chicken,1,0
,Veg burger,1,0
,coleslaw,1,0
,Refresh mint,1,0
,Carrot Cake,1,0
,Chicken butterfly,0,1
,Madeiara Red,1,0
,Morocann Butternut,1,0
,Citrus bliss,1,0
,hummus with peri-peri drizzle,1,0
,Creamy Cheesecake,1,0
,Meal Platter,1,0
,Ice Tea,1,0
,Cataplana Algrave,1,0
,Fresh Lime soda,1,0
,Caramel Cheese Cake,1,0
,Portugese roll with Butter,0,1
,Chicken Wings,0,1
,Roasted Veg and Grilled Paneer,1,0
,Spicy Rice,1,0
,Chicken Tikka ,0,1
,Chilly CHicken,0,1
,Chilly Potato,1,0
,Veg Pasta,1,0
,Panner Tikka,1,0
,Chilli Paneer,1,0
,Dahi ke Kebab ,1,0
,Veg Manchurian,1,0
,Dal Makhani,1,0
,Chicken Lollypop,0,1
,Butter Chicken,0,1
,Tower Draught,1,0
,Spicy Chicken Pizza,0,1
,Italian Smooch,1,0
,Chilly Mushroom,1,0
,Lemon Chicken,0,1
,Italian Classic Pizza,1,0
,afgani Chicken,0,1
,Makkhan Singh,0,1
,jhakass Maska Bhaji Pav,1,0
,Hollywood nitrogen papdi Dhokla Chat,1,0
,Pyar tune Quesadilla,1,0
,Dahi Puchka Shot,1,0
,Bole Toh?,1,0
,Jhakass Maska Bhaji Pav,1,0
,Vegetarian Murgh Tikka,1,0
,Chhamak Challo Salad,1,0
,Kukkad Kamal da,0,1
,Bhiku Mahatre Vada Pav,1,0
,Rajnikant Early Morning Tea,1,0
,Pataka Chicken,0,1
,Chicken e Chameli,0,1
,Rangeela Kaun,1,0
,Naanza,1,1
,Cheese Garlic Bread ,1,0
,Hum Aapke Kaun??,1,0
,Phuljhadi Potato,1,0
,Jalebi Bai,1,0
,Brucelee ki Brocolli,1,0
,KhudKhushi,1,0
,Andaaz apna apna,0,1
,Veg Mezze Platter,1,0
,Pesto Pasta,1,0
,Chocolate Iced Glazed Doughnut,1,0
,red velvet,1,0
,chocolate dream cake,1,0
,double chocolate krunch,1,0
,cappucino,1,0
,original glazed doughnut,0,1
,fussili n mushroom in white sauce,1,0
,grilled chicken salad,0,1
,chicken lasagne,0,1
,piri piri pizza,1,0
,cold coffee,1,0
,triple chicken sampler,0,1
,choko shoko,1,0
,lasagne mushroom & spinach,1,0
,penne arrabiatta,1,0
,baked penne mushroom,1,1
,bruchetta platter,0,1
,lemon ice tea,1,0
,oreo shake,1,0
,The Houston Burger,1,1
,The Original Burger,1,1
,chocolate madness,1,0
,divine delhi burger,0,1
,bacon cheese fries,0,1
,Grilled or Crispy Chicken Club Salad,0,1
,Nacho Maxx Burger,1,1
,Ultimate Veggie Patty,0,0
,cheese fries,1,0
,asian salad,1,1
,route 66,1,1
,greek salad,1,1
,oreo cookies & cream,1,0
,cajun paneer wrap,1,0
,spiced sausages,0,1
,#12 Burger,0,1
,Strawberry Banana Shake,1,0
,nachos supreme,1,0
,black forest ,1,0
,tenderloin burger,0,1
,american fries,1,0
,Spicy Texan Burger,1,1
,chocolate strawberry kiss,1,0
,bacon cheddar single or double,1,1
,chicken club sandwich,0,1
,iced tea,1,0
,crispy chicken slider,0,1
,mediterranean,1,0
,martaban dal makhani,1,0
,dahi ke kebab,1,0
,butter chicken,0,1
,kadhai paneer,1,0
,tandoori paneer tikka,1,0
,veeru ki ghutti,0,0
,tandoori soya chaap,1,0
,dhaba chicken tikka,0,1
,kadhai chicken,0,1
,amritsari kulcha,1,0
,butter naan,1,0
,tawa mutton burra,0,1
,thali veg,1,0
,veg dum biryani,1,0
,aloo gobhi,1,0
,hara bhara kebab,1,0
,smoked chicken pizza,0,1
,alfredo Pasta,1,0
,lime grilled chicken,0,1
,duet of ice cream,1,0
,shisk taouk,0,1
,fish fingers 'our way',0,1
,mediterranean pizza,1,0
,Mezze platter,1,0
,banoffee cheesecake,0,0
,gorgeous greek,1,0
,cream caramel,1,0
,vegetable lasagne,1,0
,garlic toast,1,0
,arrabiata pasta,1,0
,quattro formaggi pizza,1,0
,own burger,1,1
,forked you tenderloin cheese burger,0,1
,pesto olive chicken,0,1
,mozzarella fingers,1,1
,grilled chicken wings,0,1
,new york cheesecake,1,0
,masala fish sticks,0,1
,double cheese burger,1,0
,lamb burger,0,1
,herb chicken breast,0,1
,bbq chicken fingers,0,1
,long island ice tea,1,0
,the great american bbq bacon,0,1
,penne arrabiata,1,1
,pesto pasta,1,1
,veg lasagna,1,0
,onion rings,1,0
,parmesan cheese pasta,1,1
,mojito watermelon,1,0
,chicken lasagna,0,1
,soya patty,0,0
,kaffir lime,1,0
,the original tough guy chicken,0,1
,dunkin hot chocolate,1,0
,the naughty lucy veg,1,1
,iced green tea,1,0
,chocolate frosted,1,0
,Galouti Kebab,0,1
,balti meat,0,1
,highway chicken tikka,0,1
,veg galouti,1,0
,dhaba paneer tikka,1,0
,tawa chicken,0,1
,Dal Dhaba,1,0
,butter naan,1,0
,tandoori roti,1,0
,Tiffin Chicken,0,1
,paneer makhani,1,0
,garlic naan,1,0
,amritsari chole,1,0
,kanastari baingan bharta,1,0
,lachha parantha,1,0
,dhabe ki roti,1,0
,dhaba chilli paneer,1,0
,amritsari fish,0,1
,tawa mutton,0,1
,mutton seekh,0,1
,murg malai tikka,0,1
,kala khatta,1,0
,aam panna,1,0
,lassoni palak,1,0
,rarra gosht,0,1
,somras,1,0
,ruhaani,1,0
,phirni,1,0
,gulab jamun,1,0
,jaljeera,1,0
,brain masala,0,1
,peri peri chicken pizza,0,1
,peri peri veg pizza,1,0
,veg calzone,1,0
,meat lovers pizza,0,1
,traditional margherita,1,0
,barbecue chicken pizza,0,1
,frappe white chocolate,1,0
,veg boscaiola,1,0
,seafood pizza,0,1
, farmer style pizza,1,0
,chicken caesar salad,0,1
,chicken boscaiola,0,1
,mediterranean chicken pizza,0,1
,pesto chicken pizza,0,1
,paneer tikka pizza,1,0
,classic mojito,1,0
,green apple mojito,1,0
,triple dipper,0,1
,molten chocolate cake,1,0
,grilled chicken burger,0,1
,Chicken ranch burger,0,1
,quesadilla explosion salad,1,1
,texas cheese poppers,1,0
,country fried chicken,0,1
,big mouth bites,1,0
,classic vegetarian fajita's,1,0
,chicken wings,0,1
,classic nachos,1,1
,spicy smoked pasta,0,1
,country fried calamari,1,0
,chicken crispers,0,1
,presdente margarita,1,0
,sweet & smoky veggie burger,1,0
,crispy chicken tacos,0,1
,chocolate chip paradise pie,1,0
,oldtimer with cheese,1,0
,spicy smoked pasta,0,1
,roasted red pepper chicken,0,1
,chicken ranch salad,0,1
,southwestern eggrolls,0,1
,grilled tenderlion,0,1
,classic vegetarian fajita's,1,0
,cajun club sandwich,0,1
,brownie sundae,1,0
,shrimp fajita trio,0,1
,orleans jambalaya,0,1
,blackberry moji tea,1,0
,grilled chicken burger,0,1
,classic bacon burger,0,1
,bbq chicken salad,0,1
,country fried chicken,0,1
,chipotle rice fresh mex bowls,1,1
,quesadilla explosion salad,1,0
,honey chilli potatoes,1,0
,indian seafood platter,0,1
,paneer tikka,1,0
,spicy chicken burger,0,1
,dahi ke kebab,1,0
,butter chicken,0,1
,veg handi biryani,1,0
,paneer lababdar,1,0
,dal makhani,1,0
,aloo tikki,1,0
,pav bhaji,1,0
,kulfi,1,0
,raj kachori,1,0
,gol gappa,1,0
,matar kulcha,1,0
,papdi chat,1,0
,dal makhni,1,0
,special thali,1,0
,gulab jamun,1,0
,Red Velvet Cake,1,0
,Truffle Exotique,1,0
,Rainbow Cake,1,0
,Blueberry Cheesecake,1,0
,Chocolate Mousse Cake,1,0
,Apple Pie,1,0
,Walnut Pie,1,0
,Chocolate Boat Pastry,1,0
,belgian Evasion,1,0
,Chocolate Mousse Pastry,1,0
,Coffee Brownie,1,0
,Caramel Nut Pastry,1,0
,Black Forest Pastry,1,0
,Chhole Bhature,1,0
,Raj Kachori,1,0
,Pav Bhaji,1,0
,South Indian Platter,1,0
,Dahi Bhalla,1,0
,Dal Makhani,1,0
,Tandoori Platter,1,0
,Kulfi Falooda,1,0
,Papdi Chaat,1,0
,Lassi Kesaria,1,0
,Rasmalai,1,0
,Delux Thali,1,0
,Kesari Jalebi,1,0
,Pani Puri,1,0
,Chicken Fried Rice,0,1
,Five Spice Chicken,0,1
,Fruit Beer,1,0
,Chilly Chicken,0,1
,Manchow Soup,1,1
,Vegetable Manchurian,1,0
,Veg Spring Roll,1,0
,Singapore Style Noodles,1,1
,Hakka Noodles,1,1
,Chilli Paneer,1,0
,Kung Pao chicken,0,1
,Lemon Coriander Fish,0,1
,Butter Pepper Garlic Noodles,1,1
,Thai Red Curry,1,1
,Mangolian Chicken,0,1
,Shredden Lamb in Garlic/Chilli Bean/Szechuan Sauce,0,1
,Crispy Chilli Potatoes,1,0
,Pan Fried Noodles,1,1
,Juicy Chicken Drumsticks,0,1
,Crispy Chilli Lamb,0,1
,Dimsums- Momos,1,1
,Stir Fried Chicken with Ginger and Wine,0,1
,American Choupsuey,0,1
,Chilly Mayo Crrispy Fried Prawns,0,1
,Chicken Manchurian,0,1
,Veg Chopsuey,1,0
,Hot and Sour Soup,1,1
,Ting Ming Mushrooms,1,0
,Crispy Tangy Button Mushrooms,1,0
,Brown Zebra,1,0
,Tom Kha Soup,1,1
,Tom Yum Soup,1,1
,Creamy Garlic Chicken,0,1
,Szechuan Dimsums,1,1
,Singapore Wok,0,1
,Coconut Puff with Vanilla Icecream,1,0
,Malabar Parantha,1,0
,Florentina Pizza,0,1
,Pesto and Mustard Fish,0,1
,Gardinara Pizza,1,0
,Vanilla Ice cream,1,0
,Fisherman's Pride,1,0
,Kokum Curry,1,1
,Lettuce Parcels,1,1
,Chicken Souvlaki,0,1
,Flaxseed Icecream with Strawberries,1,0
,Crostini Platter,1,0
,Zesty Prawns,0,1
,Vegetable Nut Roast,1,0
,Cous cous,1,0
,Salmon Salad,0,1
,Chocolate Lasagna,1,0
,Peri Peri Chicken with fries,0,1
,Chicken Lovers Pizza,0,1
,Bruschetta,1,0
,Italian Fantasy,1,0
,Insalata Caesar,1,1
,Pizza Senza Pomodoro,1,0
,Ultimate Virgin Sangria,1,0
,Tiramisu,1,0
,Penne all Arrabiata,1,1
,Pollo croccante,0,1
,Pollo alla Parmigiana,0,1
,Margherita Pizza,1,0
,Speziata Con Pollo Pizza,0,1
,Golden Chicken Burger,0,1
,Orange Bloom,1,0
,Creme Brulee trio -chocolate - vanilla- orange,1,0
,Pasta al Pesto,0,1
,Pizza Sandwich,1,0
,Cold coffee,1,0
,Pizza Greca,1,0
,Ravioli di pere e parmigiana con salvia burro and mondorle,1,0
,Pasta Sana,0,1
,Tortelloni di Ricotta e spinachi pavarotti,1,0
,Provenzale Pizza,1,0
,Minty Mango,1,0
,DV ki Khas Dal Makhani,1,0
,Murgh Rara,0,1
,Paneer Tikka Haryali/Aachari,1,0
,Dahi ke Kebab,1,0
,Murgh Afghani,0,1
,Murgh Makhani,0,1
,Malai Kofta,1,0
,Jal jeera,1,0
,Tandoori Roti,1,0
,Chur Chur Parantha,1,0
,Aam e Khas,1,0
,Baigan ka Bharta,1,0
,Rara Meat ,0,1
,Amritsari Machhi Tikka,0,1
,Makhani Naan,1,0
,Paneer Tikka Masala,1,0
,Gobhi Rogan josh,1,0
,Murgh Malai Kebab,0,1
,Pineapple Raita,1,0
,Biryani,1,1
,Bharawan Tandoori Tangari,0,1
,Mutton Rogan Josh,0,1
,Mint Lachcha Parantha,1,0
,Paneer Roganjosh,1,0
,Lehsuni Naan,1,0
,Chaap Do Pyaza,1,0
,Rumali Roti,1,0
,Tandoori Murgh,0,1
,Murgh Tikka Lasuhni,0,1
,Vegetable Biryani,1,0
,Shakahari Kebab Platter,1,0
,Nimbu Paani sweet/salt,1,0
,Kali mirch Tikka,0,1
,Red Velvet Cupcake,1,0
,Chocolate Truffle,1,0
,Garlic Bread,1,0
,El Posto Special Pizza,1,0
,Italian Smooch,1,0
,Banoffie Pie,1,0
,Mexican Veggie Delight Pizza,1,0
,Mint Mango Margarita,1,0
,Cheese Poppers,1,0
,Bruschetta Con Funghi,1,0
,Paneer Paprika Pizza,1,0
,Veg Quesadila,1,0
,Veg Crispy Patty Taco,1,0
,Tiramisu,1,0
,Lasagne Italiano,1,0
,Crispy Corn Kernels,1,0
,Veg Dimsums,1,0
,Veg Fried Rice Basil,1,0
,Nachos with Kidney Beans and Cheese,1,0
,Black Forest Pastry,1,0
,Red Velvet Cake,1,0
,Moist Chocolate Cake,1,0
,Coffee Walnut Cake,1,0
,New York Style Cheese Cake ,1,0
,Elma Hot Chocolate,1,0
,Carrot Cake,1,0
,simply Grilled Chicken Sandwich,1,0
,Hot Apple Pie,1,0
,Full English Breakfast,0,1
,Berry Fudge,1,0
,High Tea,1,0
,Victoria Sponge Cake,1,0
,Rainbow Cake,1,0
,Caramel cake,1,0
,Red Velvet Cheese cake,1,0
